blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
189,BT BATOK WEST AVE 6,21,BB,86,0,0,0,40,46,0,0,0,0,0,0,0,86,0,293.0,73,1.34579573207282,103.746340146543,650189,BUKIT BATOK
189,PASIR RIS ST 12,13,PRC,48,0,0,0,0,48,0,0,0,0,0,0,0,48,0,168.0,71,1.36558937083908,103.959037047449,510189,PASIR RIS
189A,RIVERVALE DR,17,SK,94,0,0,0,0,0,94,0,0,0,0,0,0,94,0,357.2,76,1.39556120814367,103.904021658575,541189,SENGKANG
189B,RIVERVALE DR,16,SK,88,0,0,0,0,0,88,0,0,0,0,0,0,88,0,334.4,76,1.3957956866724,103.903630293443,542189,SENGKANG
189C,RIVERVALE DR,17,SK,94,0,0,0,0,0,94,0,0,0,0,0,0,94,0,357.2,76,1.39540188419358,103.903397561036,543189,SENGKANG
19,BALAM RD,10,GL,120,0,0,120,0,0,0,0,0,0,0,0,0,120,0,300.0,43,1.33142362640009,103.887410301919,370019,GEYLANG
19,BEDOK STH RD,25,BD,96,0,0,0,0,96,0,0,0,0,0,0,0,96,0,336.0,53,1.31975664729808,103.93427433992,460019,BEDOK
19,CANTONMENT CL,30,BM,116,0,0,0,58,58,0,0,0,0,0,0,0,116,0,394.4,78,1.2738835418848,103.839003328569,080019,BUKIT MERAH
19,CHAI CHEE RD,10,BD,137,0,0,135,0,2,0,0,0,0,0,0,0,137,0,344.5,50,1.32723388955932,103.922217484759,461019,BEDOK
19,DOVER CRES,30,QT,154,0,0,0,102,52,0,0,0,0,0,0,0,154,0,518.5999999999999,80,1.30783587059427,103.783635854778,130019,QUEENSTOWN
19,EUNOS CRES,12,GL,148,0,0,142,0,6,0,0,0,0,0,0,0,148,0,376.0,54,1.32427583956643,103.903205459225,400019,GEYLANG
19,GHIM MOH RD,14,QT,216,0,0,210,0,6,0,0,0,0,0,0,0,216,0,546.0,54,1.31143852315951,103.788298892377,270019,QUEENSTOWN
19,HOUGANG AVE 3,12,HG,132,0,0,110,22,0,0,0,0,0,0,0,0,132,0,347.6,55,1.36378961600309,103.891813266061,530019,HOUGANG
19,JLN TENTERAM,28,KWN,107,0,0,0,51,56,0,0,0,0,0,0,0,107,0,364.29999999999995,77,1.32760704104366,103.859860478714,321019,KALLANG/WHAMPOA
19,JLN MEMBINA,30,BM,156,0,0,0,69,87,0,0,0,0,0,0,0,156,0,532.2,79,1.2855704164404,103.826276204595,163019,BUKIT MERAH
19,JOO SENG RD,19,TP,72,0,0,0,0,72,0,0,0,0,0,0,0,72,0,252.0,65,1.33464636166187,103.880994623053,360019,TOA PAYOH
19,LIM LIAK ST,4,BM,16,0,0,16,0,0,0,0,0,0,0,0,0,16,0,40.0,27,1.28549378363945,103.832599980169,161019,BUKIT MERAH
19,MARSILING LANE,4,WL,54,0,0,54,0,0,0,0,0,0,0,0,0,54,0,135.0,53,1.44328204285332,103.777294228046,730019,WOODLANDS
19,MARINE TER,10,MP,108,0,0,54,54,0,0,0,0,0,0,0,0,108,0,313.2,52,1.30452210196584,103.915054010998,440019,MARINE PARADE
19,QUEEN'S CL,19,QT,76,0,0,0,45,31,0,0,0,0,0,0,0,76,0,257.0,72,1.29238272764571,103.800196306719,140019,QUEENSTOWN
19,TECK WHYE LANE,12,CCK,129,0,0,104,22,1,2,0,0,0,0,0,0,129,0,343.7,58,1.37939429441995,103.752949446949,680019,CHOA CHU KANG
19,TOH YI DR,4,BT,16,0,0,8,8,0,0,0,0,0,0,0,0,16,0,46.4,66,1.33996269630769,103.77389767866,590019,BUKIT TIMAH
190,BISHAN ST 13,21,BH,76,0,0,0,0,68,8,0,0,0,0,0,0,76,0,268.4,64,1.35055492734245,103.852044535915,570190,BISHAN
190,BT BATOK WEST AVE 6,25,BB,115,0,0,0,54,61,0,0,0,0,0,0,0,115,0,391.7,73,1.3453856199951,103.746045480153,650190,BUKIT BATOK
190,PASIR RIS ST 12,13,PRC,98,0,0,0,62,36,0,0,0,0,0,0,0,98,0,330.6,71,1.36552479300537,103.958657337254,510190,PASIR RIS
190,PUNGGOL CTRL,17,PG,95,0,0,0,0,31,64,0,0,0,0,0,0,95,0,351.7,81,1.39924142015378,103.910054264326,820190,PUNGGOL
190A,RIVERVALE DR,17,SK,98,0,0,0,41,57,0,0,0,0,0,0,0,98,0,334.79999999999995,76,1.39508286035406,103.902774420891,541190,SENGKANG
190B,RIVERVALE DR,17,SK,128,0,0,0,71,57,0,0,0,0,0,0,0,128,0,433.79999999999995,76,1.39415593015611,103.902375946247,542190,SENGKANG
191,BISHAN ST 13,8,BH,84,0,0,0,43,41,0,0,0,0,0,0,0,84,0,285.4,64,1.35054161207715,103.851371061032,570191,BISHAN
191,BOON LAY DR,11,JW,499,0,65,0,0,0,0,0,0,48,386,0,0,65,434,1218.7,53,1.34376568912059,103.712164032913,640191,JURONG WEST
191,BT BATOK WEST AVE 6,25,BB,99,0,0,0,17,82,0,0,0,0,0,0,0,99,0,343.1,73,1.34551716408486,103.745348433929,650191,BUKIT BATOK
191,LOR 4 TOA PAYOH,25,TP,96,0,0,0,96,0,0,0,0,0,0,0,0,96,0,316.79999999999995,51,1.33189327620475,103.851025403234,310191,TOA PAYOH
191,PASIR RIS ST 12,13,PRC,60,0,0,0,24,36,0,0,0,0,0,0,0,60,0,205.2,71,1.36606696993045,103.95873102026,510191,PASIR RIS
191,PUNGGOL CTRL,14,PG,78,0,0,0,0,26,52,0,0,0,0,0,0,78,0,288.6,81,1.39951250463624,103.909752732647,820191,PUNGGOL
191A,RIVERVALE DR,17,SK,86,0,0,0,29,57,0,0,0,0,0,0,0,86,0,295.2,76,1.39374008288861,103.903484775847,541191,SENGKANG
191B,RIVERVALE DR,17,SK,86,0,0,0,29,57,0,0,0,0,0,0,0,86,0,295.2,76,1.39463128197571,103.903902960834,542191,SENGKANG
192,BISHAN ST 13,26,BH,92,0,0,0,0,84,8,0,0,0,0,0,0,92,0,324.4,65,1.34897431725156,103.851306462341,570192,BISHAN
192,BT BATOK WEST AVE 6,25,BB,87,0,0,0,13,74,0,0,0,0,0,0,0,87,0,301.9,73,1.34559235229949,103.744789363152,650192,BUKIT BATOK
192,PASIR RIS ST 12,13,PRC,80,0,0,0,0,80,0,0,0,0,0,0,0,80,0,280.0,71,1.36624733463523,103.959056952085,510192,PASIR RIS
192,PUNGGOL CTRL,17,PG,96,0,0,0,0,32,64,0,0,0,0,0,0,96,0,355.2,81,1.3997709233324,103.909514330574,820192,PUNGGOL
192A,RIVERVALE DR,17,SK,98,0,0,0,0,98,0,0,0,0,0,0,0,98,0,343.0,76,1.39432549389416,103.90346799803,541192,SENGKANG
192B,RIVERVALE DR,17,SK,98,0,0,0,0,98,0,0,0,0,0,0,0,98,0,343.0,76,1.39421976611946,103.903053742835,542192,SENGKANG
