blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
356,HOUGANG AVE 7,530356,100,93,93,100,56,33,72,42,34,19
356,TAMPINES ST 33,520356,89,20,88,100,62,58,68,49,26,78
356,WOODLANDS AVE 5,730356,78,49,57,100,24,90,84,42,63,61
356,YISHUN RING RD,760356,78,19,81,100,89,73,76,46,41,6
356A,ANCHORVALE LANE,541356,100,96,98,100,87,45,88,39,44,14
356A,ADMIRALTY DR,751356,56,30,67,75,16,93,64,68,59,59
356B,ANCHORVALE LANE,542356,100,93,98,100,89,45,88,42,44,10
356B,ADMIRALTY DR,752356,56,17,67,75,11,92,68,71,59,59
356C,ADMIRALTY DR,753356,67,8,67,75,7,92,72,68,59,57
357,ADMIRALTY DR,750357,56,44,74,100,22,93,68,65,59,60
357,BT BATOK ST 31,650357,56,48,67,75,15,70,80,55,57,21
357,CLEMENTI AVE 2,120357,78,41,85,100,26,38,88,62,9,67
357,HOUGANG AVE 7,530357,100,97,90,100,65,33,72,46,34,18
357,TAMPINES ST 33,520357,89,25,88,100,64,58,72,59,26,75
357,WOODLANDS AVE 5,730357,78,62,57,100,28,90,80,46,76,57
357,YISHUN RING RD,760357,78,26,81,100,90,73,64,49,41,11
357,YUNG AN RD,610357,89,35,84,100,65,81,60,62,12,52
357A,ADMIRALTY DR,751357,56,28,67,75,16,93,68,71,59,61
357B,ADMIRALTY DR,752357,56,21,67,75,14,93,64,71,59,60
357C,ADMIRALTY DR,753357,56,12,67,75,10,93,64,71,59,59
358,BT BATOK ST 31,650358,56,40,63,75,13,70,80,55,57,27
358,CLEMENTI AVE 2,120358,78,47,85,100,26,38,80,62,9,56
358,HOUGANG AVE 5,530358,78,55,66,100,26,29,60,46,34,73
358,TAMPINES ST 33,520358,89,10,88,100,57,57,64,49,26,73
358,WOODLANDS AVE 5,730358,78,62,57,100,27,90,80,46,76,54
358,YISHUN RING RD,760358,78,46,80,100,89,74,68,49,41,15
358,YUNG AN RD,610358,89,21,87,100,68,81,64,62,12,52
359,ADMIRALTY DR,750359,67,30,92,100,28,93,60,65,59,57
359,BT BATOK ST 31,650359,56,40,66,75,11,69,80,55,57,12
359,CLEMENTI AVE 2,120359,78,27,85,100,35,37,84,62,9,57
359,HOUGANG AVE 5,530359,67,60,66,100,20,30,64,42,34,76
359,TAMPINES ST 34,520359,89,42,87,100,61,59,68,52,26,83
359,WOODLANDS AVE 5,730359,78,51,48,100,22,91,84,46,76,55
359,YISHUN RING RD,760359,78,63,80,100,88,74,68,49,41,22
359,YUNG AN RD,610359,89,30,87,100,68,81,64,62,12,52
359A,ADMIRALTY DR,751359,67,21,92,100,32,93,68,65,59,61
359B,ADMIRALTY DR,752359,78,11,91,100,38,93,72,65,59,67
359C,ADMIRALTY DR,753359,89,12,91,100,42,93,80,65,59,68
36,BEDOK STH AVE 2,460036,100,82,90,100,76,31,80,55,10,36
36,BEO CRES,160036,67,2,50,75,7,5,72,65,25,43
36,CASSIA CRES,390036,78,37,89,100,24,4,84,65,49,100
36,CHAI CHEE AVE,461036,78,15,91,100,35,23,72,59,31,96
36,CIRCUIT RD,370036,78,17,86,100,23,9,84,71,60,99
36,EUNOS CRES,400036,89,22,86,75,6,13,92,68,49,93
36,JLN RUMAH TINGGI,150036,89,39,74,100,61,12,80,68,91,25
36,LOR 5 TOA PAYOH,310036,89,73,77,100,71,10,68,36,20,64
36,MARSILING DR,730036,100,100,95,100,94,100,96,81,88,81
36,MOH GUAN TER,161036,89,29,77,100,28,3,80,65,25,100
36,TANGLIN HALT RD,141036,100,93,94,100,40,18,84,81,30,98
36,TEBAN GDNS RD,600036,89,3,97,100,94,60,84,94,71,18
360,BT BATOK ST 31,650360,56,31,65,75,11,70,76,55,57,36
360,HOUGANG AVE 5,530360,67,57,67,100,21,30,57,42,34,67
360,TAMPINES ST 34,520360,89,52,87,100,67,59,80,52,26,83
360,WOODLANDS AVE 5,730360,78,45,48,75,19,90,84,42,63,57
360,YISHUN RING RD,760360,78,69,80,100,87,74,68,49,41,40
360,YUNG AN RD,610360,89,11,87,100,73,81,72,62,12,52
360A,ADMIRALTY DR,751360,78,34,88,100,28,93,64,65,59,56
360B,ADMIRALTY DR,752360,78,27,92,100,36,92,68,65,59,65
360C,ADMIRALTY DR,753360,89,20,92,100,42,92,80,65,59,67
361,BT BATOK ST 31,650361,56,21,69,75,7,69,80,55,57,16
361,HOUGANG AVE 5,530361,78,66,67,100,27,30,60,46,34,58
361,TAMPINES ST 34,520361,89,64,87,100,70,59,80,52,26,83
361,WOODLANDS AVE 5,730361,78,41,48,75,18,90,84,42,63,60
361,YISHUN RING RD,760361,100,78,90,100,88,75,72,46,41,91
361,YUNG AN RD,610361,89,6,87,100,74,81,64,62,12,52
362,BT BATOK ST 31,650362,56,31,65,75,13,70,72,65,57,100
362,CLEMENTI AVE 2,120362,67,40,88,100,40,37,84,62,9,59
362,HOUGANG AVE 5,530362,78,53,50,100,24,31,64,46,34,46
